method,kind,memory_frames,confidence_mode,lambda_qmem,lambda_code,lambda_clean,best_epoch,best_val_total,best_val_doao,mean_iou,median_iou,mean_dice,mean_precision,mean_recall,mean_pred_pixels,mean_gt_pixels,auroc_pixel,mean_qmem_mismatch,mean_qmem_confidence,mean_top_similarity,mean_score_margin,same_code_rate,mean_selected_age,threshold,n_frames,runtime_minutes
strict_qmem_v1_reference_T1K2_lambda0p05,qmem,1,legacy,0.05,0.0,0.0,10,0.0038397228401362213,0.003426049724489354,0.35508623884760654,0.35835057951389254,0.5158283914592031,0.4027922755018676,0.7660152680631269,17738.887096774193,9541.822580645161,0.8431427554741139,0.006083357088139183,0.0007954781182976853,0.9613832033449604,0.0034331425915532293,0.5257489604334677,0.9717741935483871,0.05511450720950961,496,0.9404741128285726
strict_qmem_v2_T2K2_qmem_code,qmem,2,margin,0.05,0.0001,0.0,10,0.002701971217960356,0.002264266815397579,0.3435831402052767,0.34548826156897516,0.502556181699672,0.38420874496084834,0.7806149146991859,19039.810483870966,9541.822580645161,0.8237353975488484,0.003574317970267129,0.5795499525002895,0.9664659754883859,0.0024046013704425986,0.4092613958543347,0.9718553145085612,0.04741304088383913,496,1.269903548558553
christian_original_simple,christian_original,0,none,,,,0,,,0.3378228237625281,0.33812580345820775,0.48783369916459846,0.7417679534990027,0.3871791150752716,4713.554435483871,9541.822580645161,0.8483749536757492,0.0,0.0,0.0,0.0,0.0,0.0,0.1355599034577608,496,0.84142959912618
strict_qmem_v2_T2K2_full,qmem,2,margin,0.05,0.0001,0.1,10,0.002713568803856561,0.0022500886464427807,0.33657881410935897,0.33546345329600435,0.49477919025447703,0.36741757221135346,0.81565442932596,20856.129032258064,9541.822580645161,0.8343149995240889,0.0037363785672383646,0.5950349125890962,0.966256759459934,0.0024566210612970135,0.4304957236013105,0.9718867785507633,0.04464666452258825,496,1.2719443718592325
strict_qmem_v2_T2K2_qmem_only_lambda0p05,qmem,2,margin,0.05,0.0,0.0,10,0.00237256953112101,0.002235329865949326,0.33456830876314636,0.3363921604947454,0.4924572118997919,0.3621776570686935,0.8299516099437027,21566.389112903227,9541.822580645161,0.8343463706398986,0.004954635046693335,0.5808826686754343,0.9645168671925222,0.0028111071522054715,0.4037111343876008,0.9724327426764273,0.04269570205360651,496,1.2607721447944642
strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,10,0.0024411862762843887,0.0022596152820846156,0.32665212477007705,0.3273366321441069,0.48356260710397597,0.3537308317344365,0.8243076319138978,21963.5625,9541.822580645161,0.8209540881747404,0.014003309070117652,0.6537169409134695,0.9486952630742904,0.007360994330919047,0.45001122259324594,0.9922720020817172,0.04138705995865166,496,1.2660313407580057
continued_baseline_corrected_crop,baseline,0,none,0.0,0.0,0.0,10,0.0019636208347600832,0.0019636208347600832,0.3222281851431884,0.3230601175502251,0.47842858045372544,0.3454492636534792,0.8422066611476966,23044.08870967742,9541.822580645161,0.8238628898269961,0.0,0.0,0.0,0.0,0.0,0.0,0.03512730775400996,496,0.6587487697601319
