method,mean_delta_iou_vs_christian,median_delta_iou_vs_christian,bootstrap_ci_low,bootstrap_ci_high,win_fraction,tie_fraction,loss_fraction,n_frames
strict_qmem_v1_reference_T1K2_lambda0p05,0.01726341508507839,0.014976122480720916,0.004135005370881811,0.030250017475984874,0.5504032258064516,0.0,0.4495967741935484,496
strict_qmem_v2_T2K2_qmem_code,0.005760316442748562,0.008542158556962248,-0.0074587611466371976,0.018906106804616643,0.5201612903225806,0.0,0.4798387096774194,496
strict_qmem_v2_T2K2_full,-0.0012440096531691732,-0.0007692828597532508,-0.01500172674518405,0.012568684028445935,0.49798387096774194,0.0,0.5020161290322581,496
strict_qmem_v2_T2K2_qmem_only_lambda0p05,-0.00325451499938174,7.954880947558945e-05,-0.017098675604114825,0.010667792165327452,0.5,0.0,0.5,496
strict_qmem_v2_T2K2_qmem_only_lambda0p02,-0.011170698992451095,-0.009554208203367415,-0.025004634870370277,0.002733474289659587,0.4778225806451613,0.0,0.5221774193548387,496
continued_baseline_corrected_crop,-0.015594638619339669,-0.010865789711844848,-0.029852542775722267,-0.0016098036232340914,0.4637096774193548,0.0,0.5362903225806451,496
