video,frame,method,kind,memory_frames,confidence_mode,lambda_qmem,lambda_code,lambda_clean,iou,dice,precision,recall,pred_pixels,gt_pixels,threshold,mean_qmem_mismatch,mean_qmem_confidence,mean_top_similarity,mean_score_margin,same_code_rate,mean_selected_age,img_path,mask_path
before-video-000,frame_0001.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.22158909604777316,0.3627882677811777,0.23099220680478996,0.8448036148766076,21044,5754,0.04138705995865166,0.0,0.0,0.0,0.0,0.0,0.0,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0001.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0001.jpg
before-video-000,frame_0002.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.2615973218555715,0.41470811220621684,0.2659565063649222,0.9410384735689709,22624,6394,0.04138705995865166,0.0316418819129467,0.6597382426261902,0.9611331224441528,0.006565675605088472,0.4814453125,1.009562611579895,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0002.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0002.jpg
before-video-000,frame_0003.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.3075204411485073,0.47038720232684966,0.31627065610638505,0.9174585165224791,20454,7051,0.04138705995865166,0.012627539224922657,0.6605665683746338,0.9780787825584412,0.0064239283092319965,0.45166015625,1.0223625898361206,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0003.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0003.jpg
before-video-000,frame_0004.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.2572387591752425,0.4092122634589996,0.2728161796346282,0.8183524994132833,25563,8522,0.04138705995865166,0.02051784284412861,0.6635545492172241,0.9677952527999878,0.008463030681014061,0.4462890625,1.0407257080078125,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0004.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0004.jpg
before-video-000,frame_0005.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.25410165674762747,0.4052329496264469,0.2843834383438344,0.7046949927511988,22220,8967,0.04138705995865166,0.014555094763636589,0.6297135353088379,0.9741493463516235,0.008556908927857876,0.393310546875,1.03364896774292,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0005.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0005.jpg
before-video-000,frame_0006.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.23585897017791788,0.3816923708438398,0.26029752859313765,0.7152747252747252,25006,9100,0.04138705995865166,0.014735742472112179,0.6103967428207397,0.9738372564315796,0.007438865955919027,0.376220703125,1.0362412929534912,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0006.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0006.jpg
before-video-000,frame_0007.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.22130578894627304,0.36240848270638726,0.2389115419821919,0.7501959759602822,24034,7654,0.04138705995865166,0.011537779122591019,0.628113865852356,0.9786569476127625,0.006620186381042004,0.409912109375,1.023388385772705,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0007.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0007.jpg
before-video-000,frame_0008.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.18929342795433507,0.3183292255804903,0.20348258706467662,0.7307921381774866,24120,6716,0.04138705995865166,0.01253639254719019,0.6418914198875427,0.9788171052932739,0.007577585056424141,0.413330078125,1.0150612592697144,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0008.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0008.jpg
before-video-000,frame_0009.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.2640408739085675,0.4177726833976834,0.2799110751818917,0.8232287208749406,24740,8412,0.04138705995865166,0.011393729597330093,0.6389424800872803,0.9791961312294006,0.009129033423960209,0.40087890625,1.0137059688568115,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0009.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0009.jpg
before-video-000,frame_0010.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.32870512166071125,0.49477512549943653,0.3642981066606321,0.7708699122106943,26514,12530,0.04138705995865166,0.015262234956026077,0.648932933807373,0.9743293523788452,0.008830426260828972,0.41015625,1.0120145082473755,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0010.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0010.jpg
before-video-000,frame_0011.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.36398821756404987,0.5337116741581498,0.3770445272307965,0.9131294036776079,28185,11638,0.04138705995865166,0.014981549233198166,0.6319551467895508,0.9740715622901917,0.008720234036445618,0.384765625,1.0134375095367432,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0011.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0011.jpg
before-video-000,frame_0012.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.4310786485738023,0.6024527708570184,0.4470651588583737,0.92340204656681,27855,13486,0.04138705995865166,0.01393758412450552,0.6621342301368713,0.9754992127418518,0.009414850734174252,0.4267578125,1.0119736194610596,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0012.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0012.jpg
before-video-000,frame_0013.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.37153572098256143,0.5417805971781691,0.3936504152262884,0.8686540990793512,25167,11405,0.04138705995865166,0.0099168810993433,0.6823857426643372,0.9808852076530457,0.0075715770944952965,0.46533203125,1.0123586654663086,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0013.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0013.jpg
before-video-000,frame_0014.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.34820566462825875,0.5165468055265435,0.3719860746980702,0.8448848106208512,23267,10244,0.04138705995865166,0.009946810081601143,0.68990558385849,0.9813529849052429,0.007167798932641745,0.479736328125,1.0130234956741333,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0014.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0014.jpg
before-video-000,frame_0015.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.3342711117362967,0.501054259207197,0.35116496724299295,0.8741876149601472,20301,8155,0.04138705995865166,0.009289917536079884,0.6713730096817017,0.9818200469017029,0.006341251544654369,0.467529296875,1.0215811729431152,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0015.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0015.jpg
before-video-000,frame_0016.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.3086918708753261,0.4717563816895352,0.3281309478492577,0.8389877641824249,18389,7192,0.04138705995865166,0.009542811661958694,0.6963464617729187,0.9829214215278625,0.006233160383999348,0.5078125,1.010820984840393,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0016.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0016.jpg
before-video-000,frame_0017.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.24463702990424224,0.39310581965099284,0.27022395556343437,0.7209522308056124,16923,6343,0.04138705995865166,0.00999485608190298,0.6905513405799866,0.9828708171844482,0.006255133543163538,0.505126953125,1.0114657878875732,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0017.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0017.jpg
before-video-000,frame_0018.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.3743011080614008,0.5447148457726163,0.42094432376814905,0.7715842414082146,17494,9544,0.04138705995865166,0.014638874679803848,0.6645936369895935,0.9758543372154236,0.008266114629805088,0.449462890625,1.0244123935699463,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0018.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0018.jpg
before-video-000,frame_0019.jpg,strict_qmem_v2_T2K2_qmem_only_lambda0p02,qmem,2,margin,0.02,0.0,0.0,0.48074463549808155,0.6493282149712092,0.5077800570370741,0.9002927348531891,19987,11273,0.04138705995865166,0.015077712014317513,0.6795896291732788,0.9759751558303833,0.008744255639612675,0.468994140625,1.0189021825790405,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/images/before/before-video-000/frame_0019.jpg,/kaggle/input/datasets/shuvroahmedimaging/ws2-eca/test_set/test_set/masks/before/before-video-000/frame_0019.jpg
