run,epoch,kind,memory_frames,confidence_mode,lambda_qmem,lambda_code,lambda_clean,train_loss_total,train_loss_doao,train_loss_rec,train_loss_crops,train_loss_cons,train_loss_vq,train_loss_qmem,train_loss_code,train_loss_clean_tail,train_weighted_qmem,train_weighted_code,train_weighted_clean_tail,train_clean_tail_fraction,train_mean_mismatch,train_mean_confidence,train_mean_top_similarity,train_mean_score_margin,train_same_code_rate,train_mean_selected_age,train_perplexity_top,train_perplexity_bottom,val_loss_total,val_loss_doao,val_loss_rec,val_loss_crops,val_loss_cons,val_loss_vq,val_loss_qmem,val_loss_code,val_loss_clean_tail,val_weighted_qmem,val_weighted_code,val_weighted_clean_tail,val_clean_tail_fraction,val_mean_mismatch,val_mean_confidence,val_mean_top_similarity,val_mean_score_margin,val_same_code_rate,val_mean_selected_age,val_perplexity_top,val_perplexity_bottom
strict_qmem_v2_T2K2_full,1,qmem,2,margin,0.05,0.0001,0.1,0.004498570146738246,0.003441390321136998,0.0013961425777880665,0.0009094553758151369,0.0007915321170433323,0.00034426022787828963,0.014288686580731286,2.996905388352265,0.00043054953918188297,0.0007144343403930545,0.00029969053189832635,4.3054954628620705e-05,0.009847094814041972,0.018644444863029686,0.8200875576235138,0.9682162269509419,0.008768592615466966,0.6678543705910346,1.0318079047076345,4.417281807056289,45.88527202748583,0.0034955663281585,0.0026981950631212804,0.0010857184849519133,0.0007479280238429264,0.0005139367738890749,0.0003506117775411969,0.010519564281753917,2.3968599698482413,0.0003170706670386182,0.0005259782240226207,0.00023968599068475104,3.170706724656031e-05,0.007337241820190489,0.013953256378432461,0.8353469084325146,0.9792259289668157,0.005769122219092971,0.7309015854665503,1.0153784533560057,4.417272090911865,25.300534624465364
strict_qmem_v2_T2K2_full,2,qmem,2,margin,0.05,0.0001,0.1,0.004444594973451871,0.003681147098012889,0.001432059342739617,0.0009798121211519724,0.0007091497194350642,0.0005601258898667255,0.01048049416251772,1.9672836890395773,0.00042694799405144164,0.0005240247177269346,0.00019672836388260232,4.269480020161059e-05,0.009933699490811156,0.012784614152627922,0.8355541371629999,0.9802606917559549,0.005970038969996315,0.723313731127762,1.0149032822577908,4.417272090911865,17.123317399570286,0.0035164330819319202,0.0029190637006950865,0.0011074069973183126,0.0007894503810742622,0.0005197180850830461,0.0005024882297569452,0.007912849781940087,1.7059401615780934,0.000311328860130139,0.0003956424959327621,0.0001705940121299245,3.1132886645481955e-05,0.0073103759169433,0.00942416871454105,0.8904904173698472,0.9863135522101825,0.004466046588279316,0.8187257351310553,1.0079484693296663,4.417272090911865,10.436432664938753
strict_qmem_v2_T2K2_full,3,qmem,2,margin,0.05,0.0001,0.1,0.004273092372258961,0.00360988679618115,0.0013983382500133013,0.0009727954340163728,0.0006847611708632175,0.0005539919171118305,0.00857654155228397,1.9304268283251684,0.0004133581560905706,0.0004288270844291355,0.00019304267810095878,4.1335816400309304e-05,0.00965655359021583,0.009720798802919959,0.8371479996605466,0.985303014614718,0.0046427040727946445,0.7362730129329651,1.0083812691625036,4.417272090911865,12.986080836310036,0.0033459318602760122,0.002814429967780171,0.0010830522719921343,0.0007812468830685976,0.0004972994124067103,0.0004528313912155609,0.006292803264882584,1.853133642629826,0.00031548365578346776,0.00031464016841148054,0.00018531335901195509,3.1548366211876745e-05,0.007294930817880037,0.006930765695692244,0.8572335995742835,0.9900817291786091,0.0035262488053886443,0.7800453940590659,1.0041627421047226,4.417272090911865,10.563506100786183
strict_qmem_v2_T2K2_full,4,qmem,2,margin,0.05,0.0001,0.1,0.004074219087843452,0.0034694654596471703,0.0013554897036283282,0.000944095057873047,0.000659955045589735,0.0005099256361835262,0.006926974050437035,2.1887989655008027,0.000395250324845769,0.0003463487085494471,0.00021887989126408077,3.952503310158853e-05,0.009298083674697671,0.00749417667483778,0.7953736985324211,0.9890215370184487,0.0036613780174490035,0.6880124839037772,1.0041391700728681,4.417272090911865,13.215833599014259,0.003145012060994503,0.0026491489709140016,0.0010347208835443844,0.0007401693403244391,0.00047500831770377465,0.0003992504257167506,0.005010225890670256,2.163206933618902,0.00029031101841113006,0.0002505112995824855,0.00021632068774291065,2.9031102440557743e-05,0.0068502461103329,0.005386897779461588,0.8224480481811496,0.9924046566052606,0.0029948801029660035,0.7369609828833695,1.0019335321745448,4.417272090911865,11.22827683729421
strict_qmem_v2_T2K2_full,5,qmem,2,margin,0.05,0.0001,0.1,0.003877801921860465,0.0033062507668034547,0.0013099341385208892,0.0009083454701206882,0.0006286402996092764,0.00045933083226442923,0.005565426605493587,2.559036987865103,0.0003737612392738902,0.00027827133537762624,0.0002559036923975373,3.737612462695855e-05,0.008897199884177179,0.0059445533348332505,0.7498679160003913,0.9915526624436377,0.00309748291655336,0.6311198451263437,1.0018985703583083,4.417272090911865,15.102499867026648,0.003021412546250637,0.0025525202086850345,0.0010120995369454406,0.0007251185663948484,0.000449778375236297,0.0003655237139396538,0.0039008670489601416,2.449674281445178,0.00028881563243652263,0.00019504335573795702,0.0002449674218604785,2.888156373458784e-05,0.006757333312952329,0.004171333888799216,0.7778685847627084,0.9942626989513672,0.0027122631437635283,0.6781651237217643,1.0007912537699364,4.417272090911865,13.088464336371976
strict_qmem_v2_T2K2_full,6,qmem,2,margin,0.05,0.0001,0.1,0.003712198756402706,0.00316232920516695,0.0012657886939570998,0.0008785142859449028,0.0005971692838396284,0.00042085692656489805,0.004405394110997717,2.9451654016455455,0.00035083305955212093,0.00022026970929193103,0.0002945165329183282,3.508330656614051e-05,0.008450188897338758,0.0047647459590993875,0.7206982730858075,0.9933198579178528,0.002778256639324309,0.5944430561128322,1.000848849305967,4.417272090911865,17.18951805686552,0.002904794730845343,0.0024424669719716225,0.0009742636223689236,0.0006770567935936936,0.0004546328988294396,0.0003365136586543018,0.0031387474710655927,2.7818314446925534,0.00027207264374587946,0.00015693737584689422,0.00027818313682672453,2.7207264854772553e-05,0.006454542297437805,0.0034037870088431833,0.749576686502813,0.9953148063722548,0.002564288804282563,0.6401602684068738,1.000417188992576,4.417272090911865,15.448933390616206
strict_qmem_v2_T2K2_full,7,qmem,2,margin,0.05,0.0001,0.1,0.0036327332019693,0.0030888373509622836,0.0012363014469613152,0.0008553590001525882,0.0005793430783173943,0.00041783381540243583,0.0036583451367372404,3.2745207065822615,0.00033526534317109273,0.0001829172596490446,0.0003274520616662775,3.352653491334565e-05,0.008155018580639743,0.004017463624955701,0.7035408442359997,0.9943713266908606,0.0026252924572541824,0.572616417680651,1.0004969608538112,4.417272090911865,18.697028500388083,0.002836175787010172,0.002383326826604613,0.0009500803612471104,0.0006773126326454178,0.0004163925660423302,0.0003395412626542078,0.002665810409828285,2.9406259083194755,0.00025495843148565635,0.00013329052224488448,0.00029406258298376385,2.5495843665597824e-05,0.00615503034134815,0.002934073079436402,0.7451945726688092,0.995954620459723,0.0024910565961484363,0.6352628491300366,1.0002655460429861,4.417272090911865,15.394837566930004
strict_qmem_v2_T2K2_full,8,qmem,2,margin,0.05,0.0001,0.1,0.004048953680783203,0.003524743965066353,0.0013921036350655668,0.0009936867834671734,0.0006385490367237437,0.0005004044928637752,0.0029785294440583567,3.3267205008537815,0.0004261120577559996,0.000148926474917769,0.0003326720418523225,4.261120648831358e-05,0.009702161377171824,0.0033408236088774594,0.7188440775401417,0.995309613611706,0.002513800496160406,0.5966350000699836,1.0001721370750558,4.417272090911865,18.32025151069074,0.0028493637905623284,0.0024002891421086078,0.0009567864022518466,0.0006809848044022135,0.00042259378017720075,0.0003399241483833991,0.0023500061027970907,3.0709059564476338,0.00024483754559896426,0.00011750030717994333,0.00030709058728628546,2.44837549368606e-05,0.00602614108282022,0.002629845357435768,0.738813688030173,0.9963770607015588,0.002464688018018946,0.6266794729436564,1.0001176070235442,4.417272090911865,17.09392935365111
strict_qmem_v2_T2K2_full,9,qmem,2,margin,0.05,0.0001,0.1,0.003537695925537064,0.0029956486193470438,0.0012070463620640435,0.0008315040160585934,0.0005617388582861545,0.00039535937113681835,0.002831529073554007,3.6834486862124525,0.0003212599093896757,0.00014157645598497623,0.0003683448597310079,3.212599154212903e-05,0.007883545177023459,0.0031895667210801943,0.684574223127106,0.9955132140014092,0.002481725969301494,0.5482084058440952,1.0001602480396579,4.417272090911865,21.43055067748659,0.0027502169903658867,0.002297707831999344,0.000922157436479065,0.0006487846723615541,0.0004149033105026013,0.0003118624085428532,0.00211410064919228,3.2365858266641805,0.00023145556224474264,0.00010570503478354508,0.0003236585755955305,2.3145556640385552e-05,0.005732404736754222,0.0023881408647973526,0.7222324561723422,0.9967050922804845,0.0024180321710272914,0.603885264041514,1.0000957522782359,4.417272090911865,17.804322076222252
strict_qmem_v2_T2K2_full,10,qmem,2,margin,0.05,0.0001,0.1,0.0034575992071693533,0.002910705694509406,0.0011806683110464759,0.0008117381678883038,0.0005468661878391473,0.00037143301697688166,0.0026212745393682287,3.8497866721393885,0.0003085112263304347,0.00013106372944514827,0.0003849786574645432,3.085112317466671e-05,0.007616769238776967,0.00297043500003725,0.6704017538282543,0.9958235313373383,0.0024291500606996538,0.5290144621062257,1.0001156910315099,4.417272090911865,22.744876671349978,0.002713568803856561,0.0022500886464427807,0.0009069809311235003,0.0006308166803215018,0.00041306124812241367,0.0002992297891940767,0.0019991393429548416,3.400958156702137,0.0002342740401872816,9.995696863536003e-05,0.00034009580743062437,2.342740438357407e-05,0.005744924766531212,0.002259812123265563,0.7091933249408363,0.9968788767908956,0.002393071437925464,0.5857583443032662,1.0000718591850757,4.417272090911865,19.00933016962184
