run,epoch,kind,memory_frames,confidence_mode,lambda_qmem,lambda_code,lambda_clean,train_loss_total,train_loss_doao,train_loss_rec,train_loss_crops,train_loss_cons,train_loss_vq,train_loss_qmem,train_loss_code,train_loss_clean_tail,train_weighted_qmem,train_weighted_code,train_weighted_clean_tail,train_clean_tail_fraction,train_mean_mismatch,train_mean_confidence,train_mean_top_similarity,train_mean_score_margin,train_same_code_rate,train_mean_selected_age,train_perplexity_top,train_perplexity_bottom,val_loss_total,val_loss_doao,val_loss_rec,val_loss_crops,val_loss_cons,val_loss_vq,val_loss_qmem,val_loss_code,val_loss_clean_tail,val_weighted_qmem,val_weighted_code,val_weighted_clean_tail,val_clean_tail_fraction,val_mean_mismatch,val_mean_confidence,val_mean_top_similarity,val_mean_score_margin,val_same_code_rate,val_mean_selected_age,val_perplexity_top,val_perplexity_bottom
strict_qmem_v1_reference_T1K2_lambda0p05,1,qmem,1,legacy,0.05,0.0,0.0,0.00772992661080094,0.005819008518794048,0.002045092106944453,0.0014805297259779533,0.0011099850110889756,0.001183401644000237,0.038218360904403864,0.0,0.0008646611019798499,0.0019109180779942367,0.0,0.0,0.017377549939648494,0.011586193278806601,0.0030261455896183616,0.98216282753401,0.004989335465502626,0.8137869591764767,1.0,4.416972656308459,16.706049188660128,0.005232107593020212,0.00433880852679826,0.0014860809852613177,0.0010741942644378632,0.0007590845800221041,0.0010194486973163716,0.01786598075043353,0.0,0.0005855006731954915,0.0008932990546282993,0.0,0.0,0.011968502849252887,0.0063531983711622156,0.0008642422382120091,0.9902972362576584,0.003367003372440292,0.8445630370519976,1.0,4.417272090911865,11.42549481375097
strict_qmem_v1_reference_T1K2_lambda0p05,2,qmem,1,legacy,0.05,0.0,0.0,0.006097678953766674,0.005263085988516029,0.00182365983445379,0.0012895513332611603,0.000957048615677125,0.0011928261962362977,0.01669185895469651,0.0,0.0007256822591864443,0.0008345929624124329,0.0,0.0,0.015093697382899571,0.007117741885258979,0.0008950611423920579,0.9888797326817357,0.0034820556634267406,0.7555489102988298,1.0,4.417272090911865,15.111186722919914,0.004734329895973293,0.004061166312519272,0.0013634802109918083,0.0009905742768285255,0.0006977368950418095,0.0010093749239800014,0.0134632716383008,0.0,0.0005043188402712292,0.0006731635938164889,0.0,0.0,0.01076293300255065,0.005527490257413031,0.0006031516344192384,0.9915836480753683,0.0030312486634218733,0.7889684011457109,1.0,4.417272090911865,12.747852368024205
strict_qmem_v1_reference_T1K2_lambda0p05,3,qmem,1,legacy,0.05,0.0,0.0,0.005775503933846984,0.005082631755623355,0.0017359748803957254,0.0012328206603608634,0.0008968877752772648,0.0012169484161377662,0.01385744359016244,0.0,0.0006685868093846939,0.0006928721905333569,0.0,0.0,0.014168268194700823,0.006403460645335619,0.0007307444565209897,0.9899843907283189,0.003258247893834557,0.7085913283209111,1.0,4.417272090911865,16.20439873209369,0.004590737464324463,0.004000538259692114,0.0013134587720555245,0.0009461583165201817,0.0006661457196685138,0.0010747754401620368,0.011803984014398378,0.0,0.00047998229223868133,0.0005901992110875173,0.0,0.0,0.010274095905093273,0.005106330689860313,0.0005550346451211769,0.9921556752520919,0.002940798007864527,0.7527067765646059,1.0,4.417272090911865,13.534334819269237
strict_qmem_v1_reference_T1K2_lambda0p05,4,qmem,1,legacy,0.05,0.0,0.0,0.005550602575037218,0.00492100990115278,0.001684951596578345,0.0011961301616935371,0.0008540246643784606,0.0011859034561454407,0.012591853315505261,0.0,0.0006357012830219756,0.0006295926778336068,0.0,0.0,0.013599292652027027,0.005930829891822371,0.0006518823521338376,0.990675882381063,0.0031371994412305107,0.6937562310619253,1.0,4.417272090911865,16.799359293427763,0.004269474276153263,0.0037552652900795574,0.0012920149327031436,0.0009503314498927965,0.0006118481167902367,0.0009010707795101226,0.01028417975081735,0.0,0.0004922770593519893,0.0005142089957906578,0.0,0.0,0.010372569786710828,0.0046408113882057235,0.0004791934170391406,0.9928684383805855,0.002823687989711236,0.7502309438344594,1.0,4.417272090911865,13.669799618659372
strict_qmem_v1_reference_T1K2_lambda0p05,5,qmem,1,legacy,0.05,0.0,0.0,0.005361110617555356,0.0047818577673735645,0.001642148716174254,0.0011711846235728238,0.0008221543913584007,0.0011463700178521484,0.011585056924101046,0.0,0.0006050774821274369,0.0005792528564339661,0.0,0.0,0.01308121658627055,0.005619423840141485,0.0006002743620558194,0.9911461241499698,0.003066471841432285,0.6939297620550641,1.0,4.417272090911865,16.392354599577235,0.0041563114735213595,0.0036747877110675695,0.0012516152661826711,0.0009178861138259294,0.0006006555917494155,0.0009046307264676167,0.009630475275956651,0.0,0.00044858639484151745,0.00048152377484258227,0.0,0.0,0.009714828116860849,0.004488061821801188,0.0004680436061444604,0.9930688405429154,0.0028113816242630032,0.7541374807212103,1.0,4.417272090911865,13.215439835670551
strict_qmem_v1_reference_T1K2_lambda0p05,6,qmem,1,legacy,0.05,0.0,0.0,0.005221132805138124,0.004671100507845583,0.0016027082749503602,0.0011463610334372458,0.0007944348627998781,0.0011275963249646685,0.01100064587319261,0.0,0.0005780781388901538,0.000550032303763663,0.0,0.0,0.012624349990041184,0.0054444457540809114,0.0005703535384150037,0.9914096175345514,0.0030315270949457145,0.6918967760648858,1.0,4.417272090911865,16.09488594993704,0.004093694528668777,0.0036235045363686618,0.0012272740354130568,0.0008847000021347941,0.0006049754662076985,0.0009065550278251734,0.009403799756673043,0.0,0.0004108771572133226,0.0004701899974471501,0.0,0.0,0.009231047401670914,0.004430917301721385,0.00045020373344703736,0.9931178000502805,0.0027893114168542742,0.7520386172517627,1.0,4.417272090911865,13.293736703247356
strict_qmem_v1_reference_T1K2_lambda0p05,7,qmem,1,legacy,0.05,0.0,0.0,0.005090610500955505,0.004554715799777562,0.0015693263263436691,0.0011220798155230072,0.0007696512331236356,0.0010936584193378845,0.010717894071824672,0.0,0.0005542084606941483,0.0005358947135038896,0.0,0.0,0.012211210517107393,0.0053430589468146505,0.0005479007864488492,0.9915600836891489,0.0029930786151043482,0.684535619906311,1.0,4.417272090911865,16.130768084266982,0.003934100282719943,0.0034844038800635187,0.0012055783804172822,0.0008866879600332776,0.0005487956786857913,0.0008433418516419854,0.008993927925153713,0.0,0.00042553947571604756,0.00044969640435571533,0.0,0.0,0.009227694411675601,0.00428809854160933,0.0004267950832146657,0.9933787572397889,0.0027438185315088893,0.733761923153448,1.0,4.417272090911865,13.348503821044636
strict_qmem_v1_reference_T1K2_lambda0p05,8,qmem,1,legacy,0.05,0.0,0.0,0.004968569654084931,0.004450096593851597,0.0015359824441200007,0.0010977564019849849,0.0007507233622199244,0.001065634357144573,0.010369461327666658,0.0,0.000531371195780362,0.0005184730756407675,0.0,0.0,0.011806153228071015,0.005218487173499471,0.000520687226409637,0.991779285840385,0.002939967755420306,0.6704375021767902,1.0,4.417272090911865,16.323701770832425,0.003867814289165177,0.0034337149935442907,0.0011798251176348173,0.0008541959141995035,0.0005689989755241491,0.0008306949914183542,0.00868198610530328,0.0,0.00038458289034809566,0.0004340993133982482,0.0,0.0,0.008634251238150056,0.004231944523237921,0.00040576987308597786,0.9935085071660097,0.00270379664016325,0.7167363420356455,1.0,4.417272090911865,13.34446952766033
strict_qmem_v1_reference_T1K2_lambda0p05,9,qmem,1,legacy,0.05,0.0,0.0,0.0049071682393384795,0.004399580924853985,0.0015145014194246431,0.0010824935967074102,0.0007397713566260704,0.0010628145326987142,0.010151746310708865,0.0,0.0005154443731172491,0.0005075873246696183,0.0,0.0,0.011538722648631235,0.00515541563995907,0.0004916733649670123,0.9919162572808636,0.002891267566207571,0.6512812723120994,1.0,4.417272090911865,16.480780271209692,0.003856504671702426,0.003423229712154607,0.0011596682740153239,0.0008451235823286205,0.0005482915242995463,0.0008701463262101835,0.00866549905778328,0.0,0.0003723124181574301,0.00043327496120436094,0.0,0.0,0.00847260848554475,0.004206414935772759,0.00039660301840328967,0.9935288835496375,0.002684385070881503,0.707782893287309,1.0,4.417272090911865,13.694959051040309
strict_qmem_v1_reference_T1K2_lambda0p05,10,qmem,1,legacy,0.05,0.0,0.0,0.004854699493613946,0.004361662546737915,0.0014990456856739977,0.0010719087745101152,0.0007295237683700686,0.001061184312928988,0.00986073906311553,0.0,0.0005057387194425549,0.0004930369624294295,0.0,0.0,0.011358418946945092,0.005056895126216788,0.0004688664644712146,0.9920902828978908,0.002847090766236589,0.6347691622840624,1.0,4.417272090911865,16.766854496379523,0.0038397228401362213,0.003426049724489354,0.0011646853778421,0.0008615907564125605,0.000523503746944217,0.0008762698380066438,0.008273462371008206,0.0,0.0003944303742260997,0.0004136731258020007,0.0,0.0,0.008728726630205273,0.004115025904595952,0.00037576469433243297,0.9936931313975297,0.002648229967938467,0.6891094348125256,1.0,4.417272090911865,13.960756649281807
